,position,company,location
72,Senior Data Analyst,PlayVS,"Santa Monica, CA, US"
73,Sr. Data Analyst,Skybound Entertainment,"Los Angeles, CA, US"
74,Data Scientist,Esri,"Redlands, CA, US"
75,Sr. Product Data Analyst,Mercury Insurance,"Brea, California, United States"
76,Financial Systems/Data Analyst,Beckman Coulter Diagnostics,"Brea, CA, US"
77,Data Analyst (Core Banking),Powermind Solutions Inc,"Gardena, CA, US"
78,Salesforce SQL Data Analyst,Futran Solutions,"Anaheim, CA, US"
79,Data Scientist,Strategic Employment Partners (SEP),"Irvine, CA, US"
80,Data Scientist - HBO Max,WarnerMedia,"Burbank, CA, US"
81,Data Scientist,Beyond the Limits,"Glendale, CA, US"
82,Data Analyst (Python),"Stand Up 8 Fitness, LLC","Universal City, CA, US"
83,Healthcare Data Analyst,Evolent Health,"Brea, CA, US"
84,Data Scientist,Ampcus Inc,"Thousand Oaks, CA, US"
85,Sr. Digital Data Analyst,INNOCEAN USA,"Huntington Beach, CA, US"
86,Encounter Data Analyst,Lakeside Medical Group,"Northridge, CA, US"
87,Data Scientist II,Amazon,"Culver City, CA, US"
88,Data Scientist,Flowspace,"Marina del Rey, CA, US"
89,Data Analyst,Healthcare Staffing Professionals Inc.,"Los Angeles, CA, US"
90,Associate Data Analyst - IT Audit,GoDiRECT,"Orange, CA, US"
91,Data Scientist - Nationwide Opportunities,Amazon Web Services (AWS),"Santa Monica, CA, US"
92,Radar Telemetry Data Analyst,L3Harris Technologies,"Anaheim, CA, US"
93,Lead Data Scientist,"Cercacor Laboratories, Inc.","Irvine, California"
94,Data Analyst,Expertise,"Los Angeles, CA, US"
95,Data Analyst,"Center for Autism and Related Disorders, LLC. (CARD)","Woodland Hills, CA, US"
96,Automotive Data Analyst,MotorTrend Group,"El Segundo, CA, US"
97,Media Data Analyst,Hylink Digital Solutions,"Los Angeles, CA, US"
98,Remote Sensing Data Scientist,Nirvana Enterprises LLC,"Industry, CA, US"
99,Data Scientist,Ultimate international Limited,"Irvine, CA, US"
100,Data Analyst II - Operations,San Manuel Casino,"Highland, CA, US"
101,Marketing Data Analyst,VelvetJobs,"Santa Ana, CA, US"
102,Supply Chain Data Scientist,Focus GTS,"Thousand Oaks, California, United States"
103,Senior Data Analyst / Manager,Atrium,"Los Angeles, CA, US"
104,Data Analyst II (Healthcare Analytics),Centene Corporation,"Woodland Hills, CA, US"
105,Data Scientist,EDO,"Los Angeles, CA, US"
106,Senior Data Analyst,First American Title,"Santa Ana, CA, US"
107,Sr. Data Analyst/Data Warehouse Consultant,"IMPEX Technologies, Inc.","El Segundo, CA, US"
108,"Google Analytics Data Scientist, eCommerce",EVERSANA,"Los Angeles, California, United States"
109,Data Scientist,ASICSoft,"Los Angeles, CA, US"
110,Senior Data Analyst,Cypress HCM,"Irvine, CA, US"
111,Data Scientist,Takeda,"Los Angeles, CA, US"
112,Data Scientist,Enterprise Solutions Inc.,"Los Angeles, CA, US"
113,Senior Data Analyst,My Lucky Day,"Los Angeles, CA, US"
114,System and Data Analyst,Pacific Clinics,"Arcadia, CA, US"
115,Senior Technical Data Analyst,Intuit,"Woodland Hills, CA, US"
116,Product Data Analyst,Stamps.com,"El Segundo, CA, US"
